Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 91053, 'CustomerName': 'Running Contract, 15864', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:16:00 PM', 'ToDateTime': '8/3/2024 9:16:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,14104,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,91053,37810,AUDI A3
,100.0,,DUBAI ,DUBAI ,4,2023,18724,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,71273,45678,AUDI A3
,100.0,,DUBAI ,DUBAI ,4,2023,78095,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,88876,53870,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 88887, 'CustomerName': 'Running Contract, 15874', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 11:28:00 AM', 'ToDateTime': '8/5/2024 11:28:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,78098,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,88887,43813,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 88889, 'CustomerName': 'Running Contract, 15824', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:34:00 PM', 'ToDateTime': '8/3/2024 9:34:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,78099,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,88889,47015,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 88886, 'CustomerName': 'Running Contract, 15806', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:47:00 PM', 'ToDateTime': '8/5/2024 12:47:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,78106,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,88886,37256,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 88888, 'CustomerName': 'Running Contract, 15819', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 7:45:00 PM', 'ToDateTime': '8/3/2024 7:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,78107,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,88888,49295,AUDI A3
,100.0,,DUBAI ,DUBAI ,4,2023,18725,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,71274,63075,AUDI A3 
"[{'ReservationKey': 0, 'CarKey': 87633, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:58:00 PM', 'ToDateTime': '8/5/2024 6:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,70266,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,87633,47506,AUDI A3 
"[{'ReservationKey': 0, 'CarKey': 87635, 'CustomerName': 'Running Contract, 15799', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:51:00 AM', 'ToDateTime': '8/4/2024 10:51:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,70268,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,87635,41444,AUDI A3 
"[{'ReservationKey': 0, 'CarKey': 87636, 'CustomerName': 'Running Contract, 15833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:36:00 AM', 'ToDateTime': '8/3/2024 2:36:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,70269,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,87636,36481,AUDI A3 
"[{'ReservationKey': 0, 'CarKey': 95546, 'CustomerName': 'Running Contract, 15717', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 5:45:00 PM', 'ToDateTime': '8/3/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,10734,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95546,33541,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 95543, 'CustomerName': 'Running Contract, 15838', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 11:04:00 AM', 'ToDateTime': '8/4/2024 11:04:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,10173,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95543,32595,AUDI A6 
"[{'ReservationKey': 0, 'CarKey': 95542, 'CustomerName': 'Running Contract, 15778', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:00:00 PM', 'ToDateTime': '8/3/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,10674,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95542,27094,AUDI A6 
,100.0,,DUBAI ,DUBAI ,4,2023,10678,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95547,39274,AUDI A6 
"[{'ReservationKey': 0, 'CarKey': 95548, 'CustomerName': 'Running Contract, 15820', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 5:31:00 PM', 'ToDateTime': '8/3/2024 5:31:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,10682,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95548,35647,AUDI A6 
"[{'ReservationKey': 0, 'CarKey': 95544, 'CustomerName': 'Running Contract, 15861', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 8:21:00 PM', 'ToDateTime': '8/3/2024 8:21:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,10735,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,95544,34143,AUDI A6 
"[{'ReservationKey': 0, 'CarKey': 11785, 'CustomerName': 'Running Contract, 15800', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:59:00 AM', 'ToDateTime': '8/30/2024 10:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2021,37769,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,11785,77277,AUDI Q8  
"[{'ReservationKey': 0, 'CarKey': 67517, 'CustomerName': 'Running Contract, 15877', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 1:54:00 PM', 'ToDateTime': '8/5/2024 1:54:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2022,29503,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,67517,77617,BMW 420
"[{'ReservationKey': 0, 'CarKey': 87493, 'CustomerName': 'Running Contract, 15755', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 9:45:00 PM', 'ToDateTime': '8/3/2024 9:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,63198,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,87493,48420,BMW 420
"[{'ReservationKey': 0, 'CarKey': 93167, 'CustomerName': 'Running Contract, 15690', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 12:39:00 PM', 'ToDateTime': '8/2/2024 12:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,84903,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,93167,44788,BMW 420
"[{'ReservationKey': 0, 'CarKey': 116861, 'CustomerName': 'Running Contract, 15827', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:58:00 PM', 'ToDateTime': '8/2/2024 10:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2024,82175,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,116861,82175,BMW 430i
,100.0,,DUBAI ,DUBAI ,4,2023,12581,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,92640,38204,BMW 735
"[{'ReservationKey': 0, 'CarKey': 142120, 'CustomerName': 'Running Contract, 15835', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:59:00 AM', 'ToDateTime': '8/15/2024 5:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2025,51834,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,142120,104,BMW420 
"[{'ReservationKey': 0, 'CarKey': 142121, 'CustomerName': 'Running Contract, 15813', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 4:00:00 PM', 'ToDateTime': '8/5/2024 4:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2025,58267,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,142121,246,BMW420 
"[{'ReservationKey': 0, 'CarKey': 99351, 'CustomerName': 'Running Contract, 15814', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 9:11:00 PM', 'ToDateTime': '8/9/2024 9:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,38219,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,99351,33777,CADILLAC ESCALADE
"[{'ReservationKey': 0, 'CarKey': 81077, 'CustomerName': 'Running Contract, 15745', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 6:12:00 AM', 'ToDateTime': '8/4/2024 6:12:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2022,46440,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,81077,62262,CADILLAC ESCALLADE
,50.0,,DUBAI ,DUBAI ,4,2020,12437,2760,-1,0.0,0.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,0.0,2927,117046,CHANGAN ALSVIN
"[{'ReservationKey': 0, 'CarKey': 2918, 'CustomerName': 'Running Contract, 1001207', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/19/2024 9:00:00 PM', 'ToDateTime': '8/6/2024 9:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2020,43596,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,2918,81849,CHANGAN ALSVIN
"[{'ReservationKey': 0, 'CarKey': 2915, 'CustomerName': 'Running Contract, 8433', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '10/10/2023 11:00:00 PM', 'ToDateTime': '2/21/2025 11:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2020,51360,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,2915,84425,CHANGAN ALSVIN
"[{'ReservationKey': 0, 'CarKey': 77962, 'CustomerName': 'Running Contract, 15765', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 1:54:00 AM', 'ToDateTime': '8/2/2024 1:54:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,15491,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,77962,55901,CHEVROLET CAPTIVA
"[{'ReservationKey': 0, 'CarKey': 83240, 'CustomerName': 'Running Contract, 1001287', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/29/2024 7:39:00 PM', 'ToDateTime': '6/8/2024 7:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,18447,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,83240,23031,CHEVROLET CAPTIVA
,100.0,,DUBAI ,DUBAI ,4,2023,21324,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,80439,58408,CHEVROLET CAPTIVA
"[{'ReservationKey': 0, 'CarKey': 80438, 'CustomerName': 'Running Contract, 15467', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/14/2024 11:58:00 PM', 'ToDateTime': '8/23/2024 11:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,21371,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,80438,49583,CHEVROLET CAPTIVA
,100.0,,DUBAI ,DUBAI ,4,2023,82856,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,89117,42028,CHEVROLET CAPTIVA
"[{'ReservationKey': 0, 'CarKey': 93467, 'CustomerName': 'Running Contract, 15626', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 1:01:00 AM', 'ToDateTime': '8/2/2024 1:01:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,14296,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,93467,37251,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 93465, 'CustomerName': 'Running Contract, 15852', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 4:14:00 PM', 'ToDateTime': '8/31/2024 4:14:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,14678,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,93465,30915,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 93464, 'CustomerName': 'Running Contract, 15822', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:21:00 PM', 'ToDateTime': '8/16/2024 8:21:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,14799,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,93464,34151,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 77979, 'CustomerName': 'Running Contract, 15845', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:36:06 PM', 'ToDateTime': '8/9/2024 1:36:06 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,15391,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,77979,60382,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 78023, 'CustomerName': 'Running Contract, 15831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:46:00 AM', 'ToDateTime': '8/23/2024 1:46:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,15479,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,78023,52696,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 78021, 'CustomerName': 'Running Contract, 15769', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 6:12:00 AM', 'ToDateTime': '8/5/2024 6:12:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,15523,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,78021,46687,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 79071, 'CustomerName': 'Running Contract, 15770', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 7:30:00 AM', 'ToDateTime': '8/7/2024 7:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2022,28430,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,79071,46724,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 79063, 'CustomerName': 'Running Contract, 15832', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:46:00 AM', 'ToDateTime': '8/11/2024 1:46:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2023,46173,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,79063,42624,CHEVROLET CAPTIVA 
"[{'ReservationKey': 0, 'CarKey': 67644, 'CustomerName': 'Running Contract, 15762', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 1:04:00 PM', 'ToDateTime': '8/5/2024 1:04:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2022,93743,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,67644,76277,CHEVROLET CORVETTE
,100.0,,DUBAI ,DUBAI ,4,2023,24647,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,79088,62596,CHEVROLET TAHOE
"[{'ReservationKey': 0, 'CarKey': 132182, 'CustomerName': 'Running Contract, 12787', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/15/2024 12:28:00 PM', 'ToDateTime': '4/15/2024 12:28:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI ,DUBAI ,4,2021,53290,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,132182,46057,CHEVROLET TAHOE
,100.0,,DUBAI ,DUBAI ,4,2022,36795,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,58667,82664,CHEVROLETE TAHOE
,100.0,,DUBAI ,DUBAI ,4,2021,EXTRA,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,11107,21232,EXTRA
,100.0,,DUBAI ,DUBAI ,4,2022,8318,2760,-1,0.0,630.0,4,2,97142885205,GOLDEN KEY RENT CAR L.L.C.,2,5,2400.0,63627,42609,FERRARI F8 TRIBUTO
