ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
4f09b1e3-54b4-4bcd-b6fa-671942813eda,y14104,AUDI,A3,14104,2023,2760,91053,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 91053, 'CustomerName': 'Running Contract, 15864', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:16:00 PM', 'ToDateTime': '8/3/2024 9:16:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
9476eb0b-cc87-4bd6-8585-5ee934ba7d2c,y18724,AUDI,A3,18724,2023,2760,71273,AUDI A3,
1abe4a0c-77df-4060-9c98-6179083000ba,z78095,AUDI,A3,78095,2023,2760,88876,AUDI A3,
c6020f19-900f-478a-9963-5ba691300508,z78098,AUDI,A3,78098,2023,2760,88887,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 88887, 'CustomerName': 'Running Contract, 15874', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 11:28:00 AM', 'ToDateTime': '8/5/2024 11:28:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
9e31041b-26b3-4495-b7cd-a58a86e93b02,z78106,AUDI,A3,78106,2023,2760,88886,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 88886, 'CustomerName': 'Running Contract, 15806', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:47:00 PM', 'ToDateTime': '8/5/2024 12:47:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
741933dc-c7a5-4ccf-95f0-da59668901a7,z70266,AUDI,A3,70266,2023,2760,87633,AUDI A3 ,"[{'ReservationKey': 0, 'CarKey': 87633, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:58:00 PM', 'ToDateTime': '8/5/2024 6:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
821bbf29-320b-4e7f-8c0f-cdc5958f9143,z70269,AUDI,A3,70269,2023,2760,87636,AUDI A3 ,"[{'ReservationKey': 0, 'CarKey': 87636, 'CustomerName': 'Running Contract, 15833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:36:00 AM', 'ToDateTime': '8/3/2024 2:36:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
5d6ace2e-2a8f-4da8-8a48-0974f0af5d56,u10734,AUDI,A6,10734,2023,2760,95546,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 95546, 'CustomerName': 'Running Contract, 15717', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 5:45:00 PM', 'ToDateTime': '8/3/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
8c7a7e82-6fa5-4b4e-b4f0-66851aa068ff,u10674,AUDI,A6,10674,2023,2760,95542,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95542, 'CustomerName': 'Running Contract, 15778', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:00:00 PM', 'ToDateTime': '8/3/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
3add5f33-68f7-4c59-905c-dff1b6b74222,u10678,AUDI,A6,10678,2023,2760,95547,AUDI A6 ,
041d38d8-2fe0-4ac3-8d72-ef2d804c4a4d,u10682,AUDI,A6,10682,2023,2760,95548,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95548, 'CustomerName': 'Running Contract, 15820', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 5:31:00 PM', 'ToDateTime': '8/3/2024 5:31:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
7c3a1dad-401d-4ed1-b4ae-71c159579278,u10735,AUDI,A6,10735,2023,2760,95544,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95544, 'CustomerName': 'Running Contract, 15861', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 8:21:00 PM', 'ToDateTime': '8/3/2024 8:21:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
802a30f7-23b9-426e-bb3d-d5acd95a5f60,w37769,AUDI,Q8,37769,2021,2760,11785,AUDI Q8  ,"[{'ReservationKey': 0, 'CarKey': 11785, 'CustomerName': 'Running Contract, 15800', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:59:00 AM', 'ToDateTime': '8/30/2024 10:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
62d0e0b9-3aaa-420e-b7a2-594e16f5246a,k29503,BMW,420,29503,2022,2760,67517,BMW 420,"[{'ReservationKey': 0, 'CarKey': 67517, 'CustomerName': 'Running Contract, 15877', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 1:54:00 PM', 'ToDateTime': '8/5/2024 1:54:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
35da98b6-5a9c-4c07-90ec-ff398cfb0356,z63198,BMW,420,63198,2023,2760,87493,BMW 420,"[{'ReservationKey': 0, 'CarKey': 87493, 'CustomerName': 'Running Contract, 15755', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 9:45:00 PM', 'ToDateTime': '8/3/2024 9:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
9c9d7fd8-510d-4c42-bdc4-a086a0be3468,g84903,BMW,420,84903,2023,2760,93167,BMW 420,"[{'ReservationKey': 0, 'CarKey': 93167, 'CustomerName': 'Running Contract, 15690', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 12:39:00 PM', 'ToDateTime': '8/2/2024 12:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
580daf5e-695b-435d-8e44-627fc09eef7c,k82175,BMW430I,2024,82175,2024,2760,116861,BMW 430i,"[{'ReservationKey': 0, 'CarKey': 116861, 'CustomerName': 'Running Contract, 15827', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:58:00 PM', 'ToDateTime': '8/2/2024 10:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
e6efd85f-89ec-44e1-99ec-3958ce3536c7,x12581,BMW,735,12581,2023,2760,92640,BMW 735,
c637593e-4ab6-4ecb-ac69-74906eb4c17a,c38219,CADILLAC,ESCALADE,38219,2023,2760,99351,CADILLAC ESCALADE,"[{'ReservationKey': 0, 'CarKey': 99351, 'CustomerName': 'Running Contract, 15814', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 9:11:00 PM', 'ToDateTime': '8/9/2024 9:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
578fb02a-1d1d-4e64-9bfd-bfe97ae0ea2b,o46440,CADILLAC,ESCALADE,46440,2022,2760,81077,CADILLAC ESCALLADE,"[{'ReservationKey': 0, 'CarKey': 81077, 'CustomerName': 'Running Contract, 15745', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 6:12:00 AM', 'ToDateTime': '8/4/2024 6:12:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
a75a960d-0a72-436c-8bd9-5e5ecc121f8a,t15491,CHEVROLET,CAPTIVA,15491,2023,2760,77962,CHEVROLET CAPTIVA,"[{'ReservationKey': 0, 'CarKey': 77962, 'CustomerName': 'Running Contract, 15765', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 1:54:00 AM', 'ToDateTime': '8/2/2024 1:54:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
597d4abc-fdd6-4297-a476-309e09c2d530,z18447,CHEVROLET,CAPTIVA,18447,2023,2760,83240,CHEVROLET CAPTIVA,"[{'ReservationKey': 0, 'CarKey': 83240, 'CustomerName': 'Running Contract, 1001287', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/29/2024 7:39:00 PM', 'ToDateTime': '6/8/2024 7:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
275aad33-3095-4315-961d-62131d35f4ab,x21371,CHEVROLET,CAPTIVA,21371,2023,2760,80438,CHEVROLET CAPTIVA,"[{'ReservationKey': 0, 'CarKey': 80438, 'CustomerName': 'Running Contract, 15467', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/14/2024 11:58:00 PM', 'ToDateTime': '8/23/2024 11:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
bf49ebaa-cc6b-4761-b057-3ce8c2fd8850,z82856,CHEVROLET,CAPTIVA,82856,2023,2760,89117,CHEVROLET CAPTIVA,
13c03ab5-28d1-4fbe-be44-90eff9dde4c2,p14296,CHEVROLET,CAPTIVA,14296,2023,2760,93467,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 93467, 'CustomerName': 'Running Contract, 15626', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 1:01:00 AM', 'ToDateTime': '8/2/2024 1:01:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
c1fa0e83-3ecd-42e3-95f3-2690f9b7695a,p14678,CHEVROLET,CAPTIVA,14678,2023,2760,93465,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 93465, 'CustomerName': 'Running Contract, 15852', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 4:14:00 PM', 'ToDateTime': '8/31/2024 4:14:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
8fe54428-0a5e-4c60-a475-6f744e955d24,t15391,CHEVROLET,CAPTIVA,15391,2023,2760,77979,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 77979, 'CustomerName': 'Running Contract, 15845', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:36:06 PM', 'ToDateTime': '8/9/2024 1:36:06 PM', 'DayRentValue': 0.0, 'Documents': None}]"
33df148e-f5bb-4ec6-a2fc-3bd095a59f0f,t15479,CHEVROLET,CAPTIVA,15479,2023,2760,78023,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 78023, 'CustomerName': 'Running Contract, 15831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:46:00 AM', 'ToDateTime': '8/23/2024 1:46:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
5af8523f-352d-49fb-8d97-91b83fdd2bf7,t15523,CHEVROLET,CAPTIVA,15523,2023,2760,78021,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 78021, 'CustomerName': 'Running Contract, 15769', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 6:12:00 AM', 'ToDateTime': '8/5/2024 6:12:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
5a9da717-0a44-4673-b037-be936675fbd4,v46173,CHEVROLET,CAPTIVA,46173,2023,2760,79063,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 79063, 'CustomerName': 'Running Contract, 15832', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:46:00 AM', 'ToDateTime': '8/11/2024 1:46:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
b1a80a3f-4e16-4ed2-94e4-db01fc2b61cf,g93743,CHEVROLET,CORVETTE,93743,2022,2760,67644,CHEVROLET CORVETTE,"[{'ReservationKey': 0, 'CarKey': 67644, 'CustomerName': 'Running Contract, 15762', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 1:04:00 PM', 'ToDateTime': '8/5/2024 1:04:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
762b3dc8-43e3-4317-9296-20f1589eef60,e36795,CHEVROLET,TAHOE,36795,2022,2760,58667,CHEVROLETE TAHOE,
e7741ee2-83e6-430c-8cd3-41ddcce71372,f8318,FERRARI,F8 TRIBUTO,8318,2022,2760,63627,FERRARI F8 TRIBUTO,
175a8007-bf9d-43bc-9f2d-608ebc6f9214,h43704,Jac,J7,43704,2024,2760,126415,JAC J7,"[{'ReservationKey': 0, 'CarKey': 126415, 'CustomerName': 'Running Contract, 15872', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 7:34:00 AM', 'ToDateTime': '8/10/2024 7:34:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
1eb07979-cbf8-46cc-baf5-1d3c6c89a45f,i56638,Jac,J7,56638,2024,2760,126409,JAC J7,"[{'ReservationKey': 0, 'CarKey': 126409, 'CustomerName': 'Running Contract, 15821', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:53:00 AM', 'ToDateTime': '8/3/2024 10:53:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
2b5d1228-c3ad-41ea-90d6-5f8ec6925f5c,i57016,Jac,J7,57016,2024,2760,126403,JAC J7,
61483249-6fc7-4f71-ac49-0831da3c72e5,i63289,Jac,J7,63289,2024,2760,126412,JAC J7,"[{'ReservationKey': 0, 'CarKey': 126412, 'CustomerName': 'Running Contract, 13695', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/12/2024 4:29:00 PM', 'ToDateTime': '8/9/2024 4:29:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
431d7bc1-ebb6-482d-b014-21297c326717,i83214,Jac,J7,83214,2024,2760,126417,JAC J7,"[{'ReservationKey': 0, 'CarKey': 126417, 'CustomerName': 'Running Contract, 15427', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/12/2024 8:57:00 PM', 'ToDateTime': '8/5/2024 8:57:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
6c25acd7-dbc9-466c-992a-c50a9d596ac7,i70676,JAC,JS4,70676,2024,2760,126404,JAC JS4,"[{'ReservationKey': 0, 'CarKey': 126404, 'CustomerName': 'Running Contract, 1001546', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/19/2024 7:29:00 PM', 'ToDateTime': '8/18/2024 7:29:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
