DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,164048,128731,Dubai,35488,2888,5,00971582920243,2019,,"[{'ReservationKey': 0, 'CarKey': 128731, 'CustomerName': 'Running Contract, 3505', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 3:00:00 PM', 'ToDateTime': '8/8/2024 3:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,21759,128738,Dubai,13928,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 128738, 'CustomerName': 'Running Contract, 3676', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:40:00 PM', 'ToDateTime': '8/14/2024 12:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,27068,135038,Dubai,80348,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,29935,135085,Dubai,57316,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 135085, 'CustomerName': 'Running Contract, 1446', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 12:20:00 PM', 'ToDateTime': '8/12/2024 12:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL,-1,Dubai,172428,129271,Dubai,63960,2888,5,00971582920243,2018,,"[{'ReservationKey': 0, 'CarKey': 129271, 'CustomerName': 'Running Contract, 930', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/4/2024 11:05:00 AM', 'ToDateTime': '6/10/2024 11:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,22374,128729,Dubai,80386,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,16468,128732,Dubai,13652,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,26056,128733,Dubai,85579,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,23971,128749,Dubai,86092,2888,5,00971582920243,2024,,"[{'ReservationKey': 0, 'CarKey': 128749, 'CustomerName': 'Running Contract, 149', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/7/2024 1:37:00 PM', 'ToDateTime': '8/6/2024 1:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,CHEVROLETE SPARK,-1,Dubai,90976,128751,Dubai,74166,2888,5,00971582920243,2024,,"[{'ReservationKey': 0, 'CarKey': 128751, 'CustomerName': 'Running Contract, 3662', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 7:15:00 PM', 'ToDateTime': '8/25/2024 7:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL,-1,Dubai,128835,128735,Dubai,65922,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL,-1,Dubai,112897,128737,Dubai,65935,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,24643,128909,Dubai,30942,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,KIA  PICANTO,-1,Dubai,225529,128910,Dubai,87266,2888,5,00971582920243,2014,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,159413,135578,Dubai,29303,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,9622,135537,Dubai,80371,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,25481,135561,Dubai,78914,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,181751,135463,Dubai,33490,2888,5,00971582920243,2018,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,199173,135466,Dubai,55840,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 135466, 'CustomerName': 'Running Contract, 92', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/16/2024 1:30:00 PM', 'ToDateTime': '6/7/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,Mitsubishi Mirage,-1,Dubai,208518,135292,Dubai,42635,2888,5,00971582920243,2024,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,233777,135313,Dubai,55837,2888,5,00971582920243,2018,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,183371,135273,Dubai,21175,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,201533,135282,Dubai,55836,2888,5,00971582920243,2018,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,23805,135913,Dubai,52191,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 135913, 'CustomerName': 'Running Contract, 1383', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 11:50:00 AM', 'ToDateTime': '8/15/2024 11:50:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL ,-1,Dubai,116447,135919,Dubai,65950,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,18993,135927,Dubai,78821,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 135927, 'CustomerName': 'Running Contract, 1380', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/15/2024 8:50:00 PM', 'ToDateTime': '8/14/2024 8:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL ,-1,Dubai,156138,135932,Dubai,65946,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,20148,135949,Dubai,78806,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,20749,135980,Dubai,78901,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,245667,135914,Dubai,20969,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN PATHFINDER,-1,Dubai,92449,135916,Dubai,58993,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,24296,135930,Dubai,78836,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 135930, 'CustomerName': 'Running Contract, 2507', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/9/2024 10:45:00 AM', 'ToDateTime': '7/29/2024 10:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,175991,137090,Dubai,19013,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 137090, 'CustomerName': 'Running Contract, 1259', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/25/2024 1:30:00 PM', 'ToDateTime': '7/27/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL ,-1,Dubai,122130,137109,Dubai,65947,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,153087,135988,Dubai,18864,2888,5,00971582920243,2019,,"[{'ReservationKey': 0, 'CarKey': 135988, 'CustomerName': 'Running Contract, 1272', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/29/2024 12:20:00 PM', 'ToDateTime': '8/28/2024 12:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN ROGUE,-1,Dubai,108566,137229,Dubai,40675,2888,5,00971582920243,2021,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,32416,137267,Dubai,19552,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN VERSA,-1,Dubai,106341,137282,Dubai,85634,2888,5,00971582920243,2021,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,168802,137285,Dubai,18972,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,24024,138459,Dubai,80366,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,22631,129740,Dubai,20446,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 129740, 'CustomerName': 'Running Contract, 148', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/6/2024 4:25:00 PM', 'ToDateTime': '8/5/2024 4:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,172665,141273,Dubai,29690,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENUALT SYMBOL ,-1,Dubai,101940,141282,Dubai,66183,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT SYMBOL ,-1,Dubai,107748,141286,Dubai,15879,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 141286, 'CustomerName': 'Running Contract, 1387', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 10:10:00 AM', 'ToDateTime': '8/6/2024 10:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,23035,141288,Dubai,78829,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 141288, 'CustomerName': 'Running Contract, 3701', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/7/2024 6:37:00 PM', 'ToDateTime': '8/2/2024 6:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISAN SUNNY ,-1,Dubai,25667,141289,Dubai,19603,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,25598,141293,Dubai,78972,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 141293, 'CustomerName': 'Running Contract, 1409', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/12/2024 12:25:00 PM', 'ToDateTime': '8/11/2024 12:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,32688,141297,Dubai,63357,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 141297, 'CustomerName': 'Running Contract, 1476', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 12:00:00 PM', 'ToDateTime': '8/8/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,26606,137131,Dubai,80364,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 137131, 'CustomerName': 'Running Contract, 1456', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 11:00:00 AM', 'ToDateTime': '8/25/2024 11:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,171680,137180,Dubai,29390,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT  SYMBOL ,-1,Dubai,107476,141284,Dubai,65913,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 141284, 'CustomerName': 'Running Contract, 1327', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/30/2024 2:33:00 PM', 'ToDateTime': '7/30/2024 2:33:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,RENAULT DUSTER ,-1,Dubai,47015,141292,Dubai,32637,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SENTRA ,-1,Dubai,50326,141296,Dubai,76208,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 141296, 'CustomerName': 'Running Contract, 1411', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/12/2024 2:10:00 PM', 'ToDateTime': '8/5/2024 2:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,Mitsubishi Mirage,-1,Dubai,246658,141301,Dubai,73970,2888,5,00971582920243,2018,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SENTRA ,-1,Dubai,0,141312,Dubai,76086,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SENTRA ,-1,Dubai,162806,141313,Dubai,76806,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,20818,137187,Dubai,13781,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,22522,137189,Dubai,78813,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,171187,137190,Dubai,93561,2888,5,00971582920243,2019,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,29011,137204,Dubai,32880,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 137204, 'CustomerName': 'Running Contract, 1385', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/17/2024 9:00:00 PM', 'ToDateTime': '8/16/2024 9:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,SPARK,-1,Dubai,108737,137211,Dubai,74159,2888,5,00971582920243,2019,,"[{'ReservationKey': 0, 'CarKey': 137211, 'CustomerName': 'Running Contract, 3658', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 4:40:00 PM', 'ToDateTime': '8/7/2024 4:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,29072,137212,Dubai,78957,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 137212, 'CustomerName': 'Running Contract, 1384', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/17/2024 10:45:00 AM', 'ToDateTime': '7/28/2024 10:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,180231,137213,Dubai,56467,2888,5,00971582920243,2019,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNY ,-1,Dubai,233668,137216,Dubai,76759,2888,5,00971582920243,2019,,"[{'ReservationKey': 0, 'CarKey': 137216, 'CustomerName': 'Running Contract, 139', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/25/2024 6:04:00 PM', 'ToDateTime': '6/26/2024 6:04:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,"RENAULT, DUSTER",-1,Dubai,38982,137224,Dubai,32655,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,CHEVROLET SPARK ,-1,Dubai,99167,137227,Dubai,74215,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 137227, 'CustomerName': 'Running Contract, 1365', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2024 11:50:00 AM', 'ToDateTime': '8/10/2024 11:50:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,nissan sunny ,-1,Dubai,23169,141259,Dubai,12773,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 141259, 'CustomerName': 'Running Contract, 3706', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/14/2024 6:52:00 PM', 'ToDateTime': '7/18/2024 6:52:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SENTRA ,-1,Dubai,94930,141299,Dubai,16113,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,spark ,-1,Dubai,96926,141363,Dubai,74153,2888,5,00971582920243,2020,,"[{'ReservationKey': 0, 'CarKey': 141363, 'CustomerName': 'Running Contract, 146', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/4/2024 6:13:00 PM', 'ToDateTime': '8/9/2024 6:13:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,Dubai,25592,132384,Dubai,19622,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,12724,132394,Dubai,80367,2888,5,00971582920243,2020,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,25751,141732,Dubai,48469,2888,5,00971582920243,2023,,"[{'ReservationKey': 0, 'CarKey': 141732, 'CustomerName': 'Running Contract, 1397', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/24/2024 10:20:00 AM', 'ToDateTime': '8/7/2024 10:20:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,NISSAN SUNNY ,-1,Dubai,34794,141360,Dubai,62965,2888,5,00971582920243,2023,,,4
100.0,2,HOUSTON LUXURY RENT A CAR,630.0,2400.0,-1.0,4,2,INFINITY Q X 60 ,-1,Dubai,149005,141414,Dubai,89683,2888,5,00971582920243,2021,,"[{'ReservationKey': 0, 'CarKey': 141414, 'CustomerName': 'Running Contract, 1345', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/4/2024 4:50:00 PM', 'ToDateTime': '7/15/2024 4:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
