manufacturer,image_pin_url_3x,model_specifications,maintenance_period,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
BMW,,[],,,520 I,,,True,520 I,,BMW,,,,,[],,[],False,,BMW 520 I,9ccc94adb6ab185beefe3e919a9dbd6f
BMW,,[],,,X5,,,True,X5,,BMW,,,,,[],,[],False,,BMW X5,95d9045657590efc1954585d024c1bfc
CHEVROLET,,[],,,CORVETTE,,,True,CORVETTE,,CHEVROLET,,,,,[],,[],False,,CHEVROLET CORVETTE,d6011212048ed4fb001ceff3c254e70f
CHEVROLET,,[],,,SUBURBAN,,,True,SUBURBAN,,CHEVROLET,,,,,[],,[],False,,CHEVROLET SUBURBAN,5b8570f0652492880594dce8ff37b285
Changhan,,[],,,Eado,,,True,Eado,,Changhan,,,,,[],,[],False,,Changhan Eado,3062d78bf6a18d35ad6a0026d913e259
Chevrolet,,[],,,Aveo,,,True,Aveo,,Chevrolet,,,,,[],,[],False,,Chevrolet Aveo,da4f70bf0645a2fc968eeb07553ad738
Chevrolet,,[],,,Impala,,,True,Impala,,Chevrolet,,,,,[],,[],False,,Chevrolet Impala,f7322d3fe9523b17c2b28bcb6d17563d
Chevrolet,,[],,,Spark,,,True,Spark,,Chevrolet,,,,,[],,[],False,,Chevrolet Spark,a0ed614e4a74bb30c52d5d8082b64d34
DODGE,,[],,,CHARGER V6,,,True,CHARGER V6,,DODGE,,,,,[],,[],False,,DODGE CHARGER V6,99289d19e9ab36bc866c6ee22b0ce012
DODGE,,[],,,CHARGER V8,,,True,CHARGER V8,,DODGE,,,,,[],,[],False,,DODGE CHARGER V8,1c2723f4a3f5fa47ad5dbed847182f47
FORD,,[],,,MUSTANG CONVERTIBLE,,,True,MUSTANG CONVERTIBLE,,FORD,,,,,[],,[],False,,FORD MUSTANG CONVERTIBLE,8516fc77bbb7046b73cfd2895692329e
FORD,,[],,,MUSTANG CONVERTIBLE V8,,,True,MUSTANG CONVERTIBLE V8,,FORD,,,,,[],,[],False,,FORD MUSTANG CONVERTIBLE V8,3d9c79c65602212595a1b3494141367c
FORD,,[],,,MUSTANG ECOBOOST,,,True,MUSTANG ECOBOOST,,FORD,,,,,[],,[],False,,FORD MUSTANG ECOBOOST,2c90ab372fa88a2e519fe878dda3e483
FORD,,[],,,MUSTANG GT,,,True,MUSTANG GT,,FORD,,,,,[],,[],False,,FORD MUSTANG GT,e9739d819cf6f2b2d8655128d4a04bb7
Honda,,[],,,CIVIC,,,True,CIVIC,,Honda,,,,,[],,[],False,,Honda CIVIC,b314c15bae6b9c0df2fa25b25f16c79b
INFINITI,,[],,,QX60,,,True,QX60,,INFINITI,,,,,[],,[],False,,INFINITI QX60,3b0ba743fbaf88831806d1d73f4a67c0
INFINITI,,[],,,QX80,,,True,QX80,,INFINITI,,,,,[],,[],False,,INFINITI QX80,8e7a33274929c86a5af34fc929eaf7f4
KIA,,[],,,GRAND CARNIVAL,,,True,GRAND CARNIVAL,,KIA,,,,,[],,[],False,,KIA GRAND CARNIVAL,90ab1cfba1c44883f34f12376b7779e0
KIA,,[],,,Picanto,,,True,Picanto,,KIA,,,,,[],,[],False,,KIA Picanto,4ccee56f936da5b4c242251b5e76e9d8
Kia,,[],,,Sportage,,,True,Sportage,,Kia,,,,,[],,[],False,,Kia Sportage,a727c5fdb98ddd231655ab25fb37eb1f
Land Rover,,[],,,Range Rover SVR,,,True,Range Rover SVR,,Land Rover,,,,,[],,[],False,,Land Rover Range Rover SVR,34848ec688267ebf8caeb676e52ed1e2
Land Rover,,[],,,Range Rover Sports,,,True,Range Rover Sports,,Land Rover,,,,,[],,[],False,,Land Rover Range Rover Sports,d3a8de5a47dda0f2caf457326595637b
MERCEDES,,[],,,450S,,,True,450S,,MERCEDES,,,,,[],,[],False,,MERCEDES 450S,5363e598bf267449725318a1720085ca
MERCEDES,,[],,,C300,,,True,C300,,MERCEDES,,,,,[],,[],False,,MERCEDES C300,d7d3d086bd49be620bd8682fb0536cd3
MERCEDES,,[],,,C300-CONVERTIBLE,,,True,C300-CONVERTIBLE,,MERCEDES,,,,,[],,[],False,,MERCEDES C300-CONVERTIBLE,368e448b514c41adbae48d396359979c
Mercedes,,[],,,G63,,,True,G63,,Mercedes,,,,,[],,[],False,,Mercedes G63,3d3b37f8691c1f6343d34a7950ddfedf
Mitsubishi,,[],,,Mirage,,,True,Mirage,,Mitsubishi,,,,,[],,[],False,,Mitsubishi Mirage,e97422f6886f5290aee0ef0663fd1c4a
Mitsubishi,,[],,,Pajero,,,True,Pajero,,Mitsubishi,,,,,[],,[],False,,Mitsubishi Pajero,8ed0a5160b112c1b13d98994b8ab93ae
NISSAN,,[],,,Patrol,,,True,Patrol,,NISSAN,,,,,[],,[],False,,NISSAN Patrol,32e6403082826fbaa210c0fa183c5444
Nissan,,[],,,Kicks,,,True,Kicks,,Nissan,,,,,[],,[],False,,Nissan Kicks,4986559f13a4857a89d9b778f70863fe
Nissan,,[],,,Kicks,,,True,Kicks,,Nissan,,,,,[],,[],False,,Nissan Kicks,9887f675ccbee8c6d86dad37734958d6
Nissan,,[],,,Kicks,,,True,Kicks,,Nissan,,,,,[],,[],False,,Nissan Kicks,c34074603e423740e9f13b87e44f5d5a
Nissan,,[],,,Pathfinder,,,True,Pathfinder,,Nissan,,,,,[],,[],False,,Nissan Pathfinder,20faff55632a55a06a61a5f0442dcd98
Nissan,,[],,,Sentra,,,True,Sentra,,Nissan,,,,,[],,[],False,,Nissan Sentra,4d19b21c5852689206260cb5da55806a
Nissan,,[],,,Sentra,,,True,Sentra,,Nissan,,,,,[],,[],False,,Nissan Sentra,f3f85d631fc627214db4410ae06a4cb9
Nissan,,[],,,Sunny,,,True,Sunny,,Nissan,,,,,[],,[],False,,Nissan Sunny,51a2c6c2e3b0eed1c9ba2fce50034a07
Nissan,,[],,,Sunny,,,True,Sunny,,Nissan,,,,,[],,[],False,,Nissan Sunny,b7deca120c63ac5d22baf608f0c0a16d
Nissan,,"[{'name': 'FuelTankVolume', 'value_localized': '41 model.specification.FuelTankVolume.unit(1)', 'value': '41', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 41, 'id': 'dda6eef2a50ab6b88c8fb2fd2c225727_FuelTankVolume'}]",30d,,Sunny,,32104,True,Sunny,,Nissan,,,,,[],,[],False,,Nissan Sunny,dda6eef2a50ab6b88c8fb2fd2c225727
Nissan,,[],,,Versa,,,True,Versa,,Nissan,,,,,[],,[],False,,Nissan Versa,6a64b883b9b9449a2b1b64d0a5654841
Renault,,[],,,Duster,,,True,Duster,,Renault,,,,,[],,[],False,,Renault Duster,a5c5c6c17bc62a7ef21557779b7c3b47
Renault,,[],,,Symbol,,,True,Symbol,,Renault,,,,,[],,[],False,,Renault Symbol,4b3b800e5736f75a57b6ddbc3f500013
Renault,,[],,,Symbol,,,True,Symbol,,Renault,,,,,[],,[],False,,Renault Symbol,b01fce99415fde4824efed16689560e7
TOYOTA,,[],,,Landcruiser,,,True,Landcruiser,,TOYOTA,,,,,[],,[],False,,TOYOTA Landcruiser,78588d8ac42a4e453d0f750daa51d60e
